"_airbyte_raw_id","_airbyte_extracted_at","_airbyte_meta","_airbyte_generation_id","cantidad","cliente","estado_factura","factura","fecha","mes","precio_unitario","referencia_banco","talla","total"
"a9395a14-93df-4b57-9742-233f1904db8d",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"120","Saenz","paga ","1344","4/01/2023","Enero","₡904,00","406403408BAC","7cm","₡108.480,00"
"1bb95483-0b41-4d55-b43f-33de83875f33",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"60","3-101-73","paga","1345`","4/01/2023","Enero","₡1.130,00","7584690bac","10cm","₡67.800,00"
"2b2c3591-90eb-4e0a-9a5f-f8aeb0f97428",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"","ANULADA","","1346","4/01/2023","enero","","","",""
"912d3868-7661-4cef-b15e-e98b28f3e34b",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"100","Jardines ","paga ","1347","4/01/2023","enero","₡1.017,00","666407034 BAC","8cm","₡101.700,00"
"3d3efbd8-0777-40ea-b225-e3955cd75086",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"","Jardines ","paga ","1347","4/01/2023","enero","₡22.600,00","666407034 BAC","CAMARONES 15","₡339.000,00"
"a181637a-473f-4250-a0a8-37d220b6d37a",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"24","La  Cascada de escazu ","paga ","1348","4/01/2023","enero","₡1.017,00","","8CM","₡24.408,00"
"80ab3188-33bb-4a1b-b00d-746ce149402e",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"30","Esquina Inka","paga","1349","4/01/2023","enero","₡1.017,00","406406056bac","8cm","₡30.510,00"
"65d60b52-4f1b-42de-ae8c-1b702a3ea393",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"106","HLK SA ","paga","1350","4/01/2023","enero","₡678,00","406407966bac ","6.5CM","₡71.868,00"
"1132c5f8-21cb-4bbe-9d1a-025a464d36f0",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"350","Coco Beer ","paga ","1351","6/01/2023","enero","₡750,00","19956525bn","7cm","₡262.500,00"
"71336a42-2302-4e6a-8a43-1efa7f3dddbb",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"400","Maraki Family Itda","paga ","1352","6/01/2023","enero","₡904,00","9812324BAC ","7cm","₡361.600,00"
"c26a2c61-6536-462a-a8f6-24f022274993",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"200","Hacienda alta gracias","paga ","1353","6/01/2023","enero","₡904,00","1671502BAC","7cm","₡180.800,00"
"8f6bc542-1aa6-4111-9f37-7df248474ea8",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"","NULA","","1354","9/01/2023","enero","","","",""
"c7f435af-fc05-4d8b-b9ac-1825e05e3305",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"","NULA","","1354","9/01/2023","enero","","","",""
"75853d41-444d-4739-89bb-c51030924c35",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"205","3-101-73","paga","1355","9/01/2023","enero","₡1.130,00","406408951 bac","10CM","₡231.650,00"
"74dae3af-f45d-4022-8843-28a176d2d504",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"","ANULADA","","1356","09/01/2023","enero","","","","₡0,00"
"37bfb61f-0bba-45d7-9d4c-87ef100ffac5",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"155","Coco Beer ","paga ","1357","11/01/2023","enero","₡750,00","16031042BAC","6.5cm","₡116.250,00"
"ec713b89-21c2-446e-bac3-331f5e55f893",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"16","Coco Beer ","paga ","1357","11/01/2023","enero","₡750,00","16031042BAC","6.5cm","₡12.000,00"
"1e53caa0-4745-4d1b-92cf-4bcab9b63e91",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"103","Calimardo ","paga ","1358","11/01/2023","enero","₡904,00","406404748bac","8cm","₡93.112,00"
"21291480-d7ea-43f2-9bcf-061868656c57",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"500","Maraki Family Itda","paga ","1359","11/01/2023","enero","₡904,00","7987646BAC ","7cm","₡452.000,00"
"6d558443-f87a-4535-83d1-a03e03389f4f",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"303","Sendero Restaurant Limitada","paga ","1360","11/01/2023","enero","₡904,00","406407248bac","7cm","₡273.912,00"
"0445c28f-563c-4f01-8ae0-1a4ef38adc42",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"300","Sendero Restaurant Limitada","paga ","1360","11/01/2023","enero","₡1.017,00","406407248bac","8cm","₡305.100,00"
"d06bfd6c-17cf-447d-86ac-a43af03b4252",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"","ANULADA","","1361","","enero","","","","₡0,00"
