"_airbyte_raw_id","_airbyte_extracted_at","_airbyte_meta","_airbyte_generation_id","cantidad_","concepto_","descripcion_","estado_factura","factura","fecha","fecha_de_pago","mes","monto_unitario","proveedor_","referencia_banco","total"
"bb080542-d01d-42c7-a4c2-34df7260f0fb",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡406","Ostras","Ostras de 7cm ","paga","32","3-1-23","23/1/23","Enero","₡452","Sindicato","94006759bn","₡183.512"
"6c96d104-1c31-4454-a49c-8514b2e73f08",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡404","Ostras","Ostras de 8cm ","paga","32","3-1-23","23/1/23","Enero","₡565","Sindicato","94006759bn","₡228.260"
"6d28654a-710f-4ccc-8871-cfd226f06ea3",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡126","Ostras","Ostras de 9cm ","paga","32","3-1-23","23/1/23","enero","₡678","Sindicato","94006759bn","₡85.428"
"f8309010-5cf7-41db-9f63-49dd5abe7150",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡1.260","Ostras","Ostras de 8cm ","paga","28","3-1-23","23/1/23","enero","₡565","Sindicato","94006759bn","₡711.900"
"08f72ac3-f179-4b29-8fbf-b5bbfd6b9066",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡193","Ostras","Ostras de 9cm ","paga","28","3-1-23","23/1/23","enero","₡678","Sindicato","94006759bn","₡130.854"
"52bf6fc0-7834-47f6-9c0f-e1335e7a7585",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡808","Ostras","Ostras de 7cm ","paga","28","3-1-23","23/1/23","enero","₡452","Sindicato","94006759bn","₡365.216"
"e9b332b6-3720-4160-9502-a2f85d7d07c2",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡414","ostras d","Ostras de 6.5cm ","paga","33","14-1-23","30/1/23","enero","₡396","Sindicato","90473879bn","₡163.944"
"1d22092a-8a7b-4633-ae0e-04e480a88c03",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡802","ostras d","Ostras de 7cm ","paga","33","14-1-23","30/1/23","enero","₡451","Sindicato","90473879bn","₡361.702"
"c6896501-a6c1-4355-bc1f-6e5b681e64ce",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡662","ostras d","Ostras de 8cm ","paga","33","14-1-23","30/1/23","enero","₡564","Sindicato","90473879bn","₡373.368"
"d22b0133-04e9-4f77-af63-9fd102e1375d",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡63","ostras d","Ostras de 9cm ","paga","33","14-1-23","30/1/23","enero","₡678","Sindicato","90473879bn","₡42.714"
"5181c142-45a3-4fda-84c7-b4baf95969e0",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡456","ostras d","Ostras de 7cm ","paga","35","14-1-23","30/1/23","enero","₡452","Sindicato","90473879bn","₡206.112"
"b7ada53d-9068-4c92-915f-78f2e511d39a",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡205","ostras d","Ostras de 8cm ","paga","35","14-1-23","30/1/23","enero","₡565","Sindicato","90473879bn","₡115.825"
"dab6cb63-60fe-4842-af31-88ae07cf24de",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡25","ostras d","OSTRAS DE 10","paga","35","14-1-23","30/1/23","enero","₡678","Sindicato","90473879bn","₡16.950"
"83459cdc-c0e6-4c46-bd14-4db2b3e60a39",1732753037000,"{""changes"":[],""sync_id"":22874404}",28,"₡228","ostras d","OSTRAS DE 10","paga","35","14-1-23","30/1/23","enero","₡904","Sindicato","90473879bn","₡206.112"
