"_airbyte_raw_id","_airbyte_extracted_at","_airbyte_meta","_airbyte_generation_id","activo","ano_de_adquisicion","cantidad_","costo","fuente_de_financiamiento","tipo","total"
"f3f640c8-cced-4b25-9c4e-da32ec89d099",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"IMPRESORA  PORTATIL ","2022","1","₡85.000","EFECTIVO ","","₡85.000,00"
"db04a80e-69b0-4b90-92c1-f33d8930d92d",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"hieleras","2022","3","₡60.455","EFECTIVO ","hieleras coleman","₡181.365,00"
"f85735ee-4679-4792-8689-01657107e381",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"congelador","","1","₡145.000","","","₡145.000,00"
"8c1781c7-5977-4157-b137-87c755a3faa5",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"Cuadraciclo ","","1","","","","₡1.000.000,00"
"63106851-7e6d-4750-bdb2-7506c0e07867",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"Hielera ","2017","1","₡25.000","contado","","₡25.000,00"
"f7d51ecf-2ba0-46eb-8190-fc884dd7cf6c",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"geles ","2017","6","₡1.500","contado","","₡9.000,00"
"371963d5-2300-4e58-a9e1-65bd2a1be355",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"computadora ","2018","1","₡140.000","contado","portatil","₡140.000,00"
"80c8b53f-508c-45f0-8eea-7ea788e82bcf",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"Hielera ","2019","1","₡17.700","contado ","Portatil ","₡17.700,00"
"e3104de3-b8ff-4d07-b017-8b7a70f1a89f",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"Hileras","2020","2","₡16.900","contado ","","₡33.800,00"
"6dd12d2b-312b-4b37-bb49-ae72b093d5e7",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"Mesa  portatil","2020","1","","contado ","","₡17.800,00"
"9e021e25-8ac5-4f2b-a8e5-5aaca4ba8c15",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"hieleras","","1","₡40.848","","","₡40.848,00"
"50a4c790-00b8-4bb7-a14b-255eb1f21a35",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"","2023","2","₡48.187","","","₡96.374,00"
"2c343510-5d55-44b5-8e46-1b26996d1f8c",1732753043000,"{""changes"":[],""sync_id"":22874404}",28,"Computadora","2022","10","₡450,000.00","Presupuesto anual","Equipo tecnológico","₡4,500,000.00"
